JDTB,Calendar Date,DeltaT,X,Y,Z
2454040.500000000, A.D. 2006-Nov-01 00:00:00.0000,      65.182509,  1.168787136859463E+08,  9.267642003418416E+07, -1.762847563776374E+04,
2454070.500000000, A.D. 2006-Dec-01 00:00:00.0000,      65.183081,  5.432066333401400E+07,  1.378994236668586E+08, -1.826182679843903E+04,
2454101.500000000, A.D. 2007-Jan-01 00:00:00.0000,      65.183930, -2.539395203336252E+07,  1.454416084067013E+08, -1.822273847357929E+04,
2454132.500000000, A.D. 2007-Feb-01 00:00:00.0000,      65.184799, -9.760129952996179E+07,  1.107869607874502E+08, -1.720364796065539E+04,
2454160.500000000, A.D. 2007-Mar-01 00:00:00.0000,      65.185392, -1.388891204920370E+08,  5.152899966775509E+07, -1.587185012800619E+04,
2454191.500000000, A.D. 2007-Apr-01 00:00:00.0000,      65.185665, -1.465345670665670E+08, -2.732217344483349E+07, -1.392949718147330E+04,
2454221.500000000, A.D. 2007-May-01 00:00:00.0000,      65.185489, -1.149185693633601E+08, -9.651627727034718E+07, -1.226895893641561E+04,
2454252.500000000, A.D. 2007-Jun-01 00:00:00.0000,      65.184910, -5.151824870236861E+07, -1.418895067017224E+08, -1.107221761023998E+04,
2454282.500000000, A.D. 2007-Jul-01 00:00:00.0000,      65.184115,  2.324050156252778E+07, -1.496291479054699E+08, -1.068676129887253E+04,
2454313.500000000, A.D. 2007-Aug-01 00:00:00.0000,      65.183263,  9.427042403302705E+07, -1.184631456701331E+08, -1.111558259082586E+04,
2454344.500000000, A.D. 2007-Sep-01 00:00:00.0000,      65.182604,  1.402346520209203E+08, -5.561663570845987E+07, -1.211278571601957E+04,
2454374.500000000, A.D. 2007-Oct-01 00:00:00.0000,      65.182323,  1.486851833023317E+08,  1.985187852821279E+07, -1.313136041047331E+04,
2454405.500000000, A.D. 2007-Nov-01 00:00:00.0000,      65.182490,  1.169865717643356E+08,  9.230545149089703E+07, -1.376346415096521E+04,
2454435.500000000, A.D. 2007-Dec-01 00:00:00.0000,      65.183059,  5.462891398756905E+07,  1.377952761423838E+08, -1.374101382547617E+04,
2454466.500000000, A.D. 2008-Jan-01 00:00:00.0000,      65.183911, -2.505974254006053E+07,  1.456845691252144E+08, -1.289073735325783E+04,
2454497.500000000, A.D. 2008-Feb-01 00:00:00.0000,      65.184788, -9.743526856097822E+07,  1.113375251909991E+08, -1.146854535592347E+04,
2454526.500000000, A.D. 2008-Mar-01 00:00:00.0000,      65.185404, -1.399103231218483E+08,  4.981459387341346E+07, -9.792635880284011E+03,
2454557.500000000, A.D. 2008-Apr-01 00:00:00.0000,      65.185672, -1.465469127925517E+08, -2.913185856363251E+07, -8.051456122400239E+03,
2454587.500000000, A.D. 2008-May-01 00:00:00.0000,      65.185487, -1.140615613950919E+08, -9.792065242548178E+07, -6.595837992407382E+03,
2454618.500000000, A.D. 2008-Jun-01 00:00:00.0000,      65.184899, -5.010261033549168E+07, -1.425006584175281E+08, -5.626687876872718E+03,
2454648.500000000, A.D. 2008-Jul-01 00:00:00.0000,      65.184100,  2.474491653870018E+07, -1.493141354077492E+08, -5.147292155012488E+03,
2454679.500000000, A.D. 2008-Aug-01 00:00:00.0000,      65.183250,  9.538636834060760E+07, -1.172684407057223E+08, -5.103268902927637E+03,
2454710.500000000, A.D. 2008-Sep-01 00:00:00.0000,      65.182598,  1.405637916074952E+08, -5.384649106828624E+07, -5.503559121012688E+03,
2454740.500000000, A.D. 2008-Oct-01 00:00:00.0000,      65.182325,  1.480567118109532E+08,  2.172767615578293E+07, -6.263204652310349E+03,
2454771.500000000, A.D. 2008-Nov-01 00:00:00.0000,      65.182498,  1.154230993296640E+08,  9.377043080981793E+07, -7.032026015721262E+03,
2454801.500000000, A.D. 2008-Dec-01 00:00:00.0000,      65.183071,  5.247330242229357E+07,  1.384418011807528E+08, -7.397765325494111E+03,
2454832.500000000, A.D. 2009-Jan-01 00:00:00.0000,      65.183925, -2.731498440233658E+07,  1.452770219472140E+08, -7.163525399990380E+03,
